File,Label
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (149).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (163).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (134).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (158).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (165).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (157).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (138).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (147).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (139).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (16).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (156).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (161).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (150).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (144).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (159).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (131).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (160).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (154).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (14).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (151).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (128).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (153).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (13).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (152).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (126).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (166).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (148).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (155).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (127).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (140).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (135).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (129).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (146).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (130).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (15).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (167).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (17).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (186).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (170).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (195).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (188).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (191).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (171).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (174).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (203).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (18).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (196).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (207).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (175).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (168).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (200).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (179).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (183).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (182).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (173).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (2).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (209).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (189).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (197).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (187).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (199).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (19).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (205).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (192).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (202).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (206).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (169).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (194).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (178).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (198).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (21).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (176).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (184).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (216).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (244).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (222).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (24).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (234).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (231).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (235).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (215).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (230).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (214).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (220).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (253).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (238).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (237).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (250).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (210).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (240).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (213).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (248).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (251).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (219).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (225).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (247).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (22).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (232).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (25).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (239).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (241).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (23).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (221).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (228).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (252).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (226).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (236).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (233).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (245).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (223).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (271).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (278).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (262).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (289).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (29).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (259).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (270).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (297).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (287).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (266).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (274).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (272).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (27).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (26).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (263).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (258).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (267).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (285).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (296).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (293).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (257).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (281).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (279).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (264).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (284).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (255).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (292).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (295).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (28).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (269).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (261).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (294).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (276).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (280).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (286).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (288).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (283).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (290).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (282).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (305).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (306).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (304).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (328).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (31).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (315).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (337).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (34).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (334).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (317).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (32).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (319).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (318).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (320).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (340).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (30).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (308).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (336).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (327).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (311).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (332).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (324).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (313).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (312).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (302).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (300).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (321).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (33).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (333).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (316).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (331).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (322).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (341).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (301).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (3).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (329).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (323).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (298).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (352).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (369).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (353).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (372).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (348).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (368).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (364).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (373).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (347).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (349).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (346).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (361).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (379).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (366).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (363).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (359).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (38).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (387).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (378).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (360).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (385).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (367).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (344).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (380).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (342).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (376).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (36).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (355).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (345).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (350).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (354).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (386).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (351).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (35).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (357).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (374).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (375).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (416).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (429).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (389).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (394).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (406).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (41).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (392).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (393).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (425).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (39).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (408).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (395).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (404).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (411).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (407).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (414).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (402).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (423).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (421).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (427).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (415).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (390).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (401).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (422).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (397).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (405).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (400).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (42).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (410).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (396).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (413).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (388).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (403).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (428).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (426).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (424).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (4).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (419).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (417).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (399).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (456).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (463).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (446).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (435).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (436).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (469).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (455).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (465).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (44).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (431).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (439).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (462).jpg,UnPhising
